element,web_name,team,position,gw_from_fixture,total_points_4gw,minutes_4gw,personas,status,flags,persona_count,starts_last4
1,Raya,ARS,GKP,38,21.0,270.0,The Spectator,Beating his xGC,,1,3
2,Arrizabalaga,ARS,GKP,38,2.0,90.0,None,,Minutes risk,0,1
3,Hein,ARS,GKP,38,0.0,0.0,None,,Minutes risk,0,0
4,Setford,ARS,GKP,38,0.0,0.0,None,,Minutes risk,0,0
5,Gabriel,ARS,DEF,38,24.0,315.0,"The Raider, Aerial Threat",Clean sheets earned,,2,3
6,Saliba,ARS,DEF,38,19.0,270.0,The Supply Line,"Clean sheets earned, One action short",,1,3
7,Calafiori,ARS,DEF,38,16.0,251.0,"The Raider, Aerial Threat",Clean sheets earned,,2,4
8,J.Timber,ARS,DEF,38,0.0,0.0,None,,Minutes risk,0,0
9,Kiwior,ARS,DEF,38,0.0,0.0,None,,Minutes risk,0,0
10,Lewis-Skelly,ARS,DEF,38,15.0,287.0,None,Clean sheets earned,,0,3
11,White,ARS,DEF,38,7.0,109.0,None,,Minutes risk,0,2
12,Zinchenko,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
13,Clarke,ARS,DEF,38,0.0,0.0,None,,Minutes risk,0,0
14,Kacurri,ARS,DEF,38,0.0,0.0,None,,Minutes risk,0,0
15,Nichols,ARS,DEF,38,0.0,0.0,None,,Minutes risk,0,0
16,Saka,ARS,MID,38,23.0,214.0,"Playmaker, Boom or Bust, Set Piece Specialist",,,3,3
17,Ødegaard,ARS,MID,38,7.0,113.0,None,,Minutes risk,0,1
18,Madueke,ARS,MID,38,13.0,138.0,None,,Minutes risk,0,1
19,Martinelli,ARS,MID,38,8.0,91.0,None,,Minutes risk,0,1
20,Trossard,ARS,MID,38,18.0,270.0,"Goal Machine, Poacher, Aerial Threat",,,3,3
21,Rice,ARS,MID,38,13.0,243.0,"Ball Winner, Metronome, Set Piece Specialist, Deep Lying Playmaker",,,4,3
22,Merino,ARS,MID,38,1.0,28.0,None,,Minutes risk,0,0
23,Fábio Vieira,ARS,MID,38,0.0,0.0,None,,Minutes risk,0,0
24,Nørgaard,ARS,MID,38,1.0,45.0,None,,Minutes risk,0,1
25,Nwaneri,ARS,MID,38,0.0,0.0,None,,Minutes risk,0,0
26,Zubimendi,ARS,MID,38,5.0,156.0,None,,Minutes risk,0,1
27,Nelson,BRE,MID,38,1.0,1.0,None,,Minutes risk,0,0
28,Kabia,ARS,MID,38,0.0,0.0,None,,Minutes risk,0,0
29,Sambi,ARS,MID,38,0.0,0.0,None,,Minutes risk,0,0
30,Havertz,ARS,FWD,38,13.0,140.0,None,,Minutes risk,0,1
31,G.Jesus,ARS,FWD,38,6.0,100.0,None,,Minutes risk,0,1
32,Martinez,AVL,GKP,38,10.0,270.0,None,Conceding above xGC,,0,3
33,M.Bizot,AVL,GKP,38,2.0,90.0,None,,Minutes risk,0,1
34,Gauci,AVL,GKP,38,0.0,0.0,None,,Minutes risk,0,0
35,Marschall,AVL,GKP,38,0.0,0.0,None,,Minutes risk,0,0
36,Cash,AVL,DEF,38,7.0,304.0,Set Piece Specialist,One action short,,1,3
37,Digne,AVL,DEF,38,5.0,106.0,None,,Minutes risk,0,1
38,Konsa,AVL,DEF,38,2.0,180.0,None,,Minutes risk,0,2
39,Maatsen,AVL,DEF,38,8.0,258.0,Set Piece Specialist,,,1,3
40,Mings,AVL,DEF,38,5.0,270.0,None,,,0,3
41,Pau,AVL,DEF,38,5.0,107.0,None,,Minutes risk,0,1
42,A.García,AVL,DEF,38,1.0,45.0,None,,Minutes risk,0,1
43,Alex Moreno,AVL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
44,Bogarde,AVL,DEF,38,4.0,172.0,None,,Minutes risk,0,2
45,Sousa,AVL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
46,Yasin,AVL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
47,Rogers,AVL,MID,38,15.0,270.0,"Boom or Bust, Set Piece Specialist, Deep Lying Playmaker",One action short,,3,3
48,Tielemans,AVL,MID,38,9.0,286.0,Metronome,Under-owned,,1,3
49,Bailey,AVL,MID,38,7.0,100.0,None,,Minutes risk,0,1
50,Buendía,AVL,MID,38,15.0,195.0,None,,Minutes risk,0,2
51,Iling Jr,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
52,J.Ramsey,NEW,MID,38,18.0,210.0,None,,Minutes risk,0,2
53,Malen,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
54,McGinn,AVL,MID,38,12.0,177.0,None,,Minutes risk,0,2
55,Barkley,AVL,MID,38,16.0,293.0,Aerial Threat,Under-owned,,1,3
56,Barrenechea,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
57,Dobbin,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
58,Kamara,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
59,Onana,AVL,MID,38,1.0,17.0,None,,Minutes risk,0,0
60,Broggio,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
61,Dendoncker,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
62,Jimoh-Aloba,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
63,Young,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
64,Watkins,AVL,FWD,38,38.0,300.0,"Goal Machine, Boom or Bust, Aerial Threat",Beating his xG,,3,3
65,Redmond,AVL,FWD,38,0.0,0.0,None,,Minutes risk,0,0
66,Neto,BOU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
67,Petrović,BOU,GKP,38,18.0,360.0,None,Beating his xGC,Ever-present,0,4
68,Dennis,BOU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
69,McKenna,BOU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
70,Paulsen,BOU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
71,Zabarnyi,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
72,Senesi,BOU,DEF,38,28.0,360.0,The Enforcer,Clean sheets earned,Ever-present,1,4
73,Smith,BOU,DEF,38,19.0,268.0,None,Clean sheets earned,,0,3
74,Truffert,BOU,DEF,38,26.0,360.0,The Supply Line,Clean sheets earned,Ever-present,1,4
75,Akinmboni,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
76,Bevan,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
77,Hill,BOU,DEF,38,20.0,360.0,The Enforcer,Clean sheets earned,Ever-present,1,4
78,J.Araujo,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
79,Mepham,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
80,Soler,BOU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
81,Kluivert,BOU,MID,38,1.0,31.0,None,,Minutes risk,0,0
82,Semenyo,MCI,MID,38,19.0,292.0,None,Beating his xG,,0,4
83,O.Dango,BRE,MID,38,24.0,291.0,"Goal Machine, Boom or Bust, Aerial Threat",,,3,3
84,Tavernier,BOU,MID,38,17.0,342.0,"Playmaker, Set Piece Specialist",,Ever-present,2,4
85,Adams,BOU,MID,38,11.0,295.0,"Ball Winner, Metronome",Under-owned,,2,3
86,Brooks,BOU,MID,38,6.0,37.0,None,,Minutes risk,0,0
87,Christie,BOU,MID,38,-1.0,62.0,None,,Minutes risk,0,1
88,Cook,BOU,MID,38,2.0,2.0,None,,Minutes risk,0,0
89,Philip,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
90,Scott,BOU,MID,38,11.0,270.0,"Ball Winner, Metronome",,,2,3
91,Sinisterra,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
92,Faivre,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
93,H.Traorè,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
94,Sadi,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
95,Silcott-Duberry,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
96,Winterburn,BOU,MID,38,0.0,0.0,None,,Minutes risk,0,0
97,Evanilson,BOU,FWD,38,10.0,281.0,"Goal Machine, Metronome",Due a goal,,2,4
98,Enes Ünal,BOU,FWD,38,4.0,39.0,None,,Minutes risk,0,0
99,Adu-Adjei,BOU,FWD,38,0.0,0.0,None,,Minutes risk,0,0
100,Kroupi.Jr,BOU,FWD,38,18.0,294.0,Goal Machine,,,1,4
101,Kelleher,BRE,GKP,38,19.0,360.0,The Last Line,Beating his xGC,Ever-present,1,4
102,Balcombe,BRE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
103,Cox,BRE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
104,Eyestone,BRE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
105,Valdimarsson,BRE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
106,Collins,BRE,DEF,38,13.0,360.0,The Enforcer,,Ever-present,1,4
107,Lewis-Potter,BRE,DEF,38,18.0,358.0,Set Piece Specialist,,Ever-present,1,4
108,Ajer,BRE,DEF,38,6.0,181.0,None,,Minutes risk,0,2
109,Henry,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
110,Kayode,BRE,DEF,38,8.0,360.0,None,,Ever-present,0,4
111,Pinnock,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
112,Roerslev,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
113,Van den Berg,BRE,DEF,38,14.0,188.0,None,,Minutes risk,0,2
114,Arthur,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
115,Fredrick,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
116,Hickey,BRE,DEF,38,4.0,91.0,None,,Minutes risk,0,1
117,Ji-soo,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
118,Meghoma,BRE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
119,Mbeumo,MUN,MID,38,19.0,241.0,"Goal Machine, Playmaker, Set Piece Specialist","Due a goal, Returns overdue",,3,3
120,Schade,BRE,MID,38,13.0,286.0,"Goal Machine, Aerial Threat",,,2,3
