element,web_name,team,position,element_type,round,gw_from_fixture,fixture,opponent_team,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,value,was_home,kickoff_time,team_h_score,team_a_score,modified,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out
1,Raya,ARS,GKP,1,1,1,9,14,10,90,0,0,1,3,38,55,False,2025-08-17T15:30:00Z,0,1,False,0,0,0,0,1,0,7,49.2,0.0,0.0,4.9,1,13,0,0,1,0.00,0.00,0.00,1.52,0,1531911,0,0
1,Raya,ARS,GKP,1,2,2,11,11,6,90,0,0,1,0,28,55,True,2025-08-23T16:30:00Z,5,0,False,0,0,0,0,0,0,1,13.4,0.0,0.0,1.3,0,3,0,0,1,0.00,0.00,0.00,0.17,218659,2284634,277339,58680
1,Raya,ARS,GKP,1,3,3,25,12,2,90,0,0,0,0,12,55,False,2025-08-31T15:30:00Z,1,0,False,1,0,0,0,0,0,2,20.0,10.0,0.0,3.0,0,12,0,0,1,0.00,0.02,0.02,0.52,-12311,2406964,146739,159050
1,Raya,ARS,GKP,1,4,4,31,16,6,90,0,0,1,0,24,55,True,2025-09-13T11:30:00Z,3,0,False,0,0,0,0,0,0,1,12.8,0.0,0.0,1.3,0,9,0,0,1,0.00,0.00,0.00,0.20,171289,2765759,289041,117752
1,Raya,ARS,GKP,1,5,5,41,13,2,90,0,0,0,0,13,55,True,2025-09-21T15:30:00Z,1,1,False,1,0,0,0,0,0,2,21.4,0.0,0.0,2.1,1,6,0,0,1,0.00,0.01,0.01,0.89,-9786,2762632,98100,107886
1,Raya,ARS,GKP,1,6,6,58,15,2,90,0,0,0,0,11,56,False,2025-09-28T15:30:00Z,1,2,False,1,0,0,0,0,0,2,15.8,0.0,0.0,1.6,2,10,0,0,1,0.00,0.01,0.01,0.61,227251,3029654,357846,130595
1,Raya,ARS,GKP,1,7,7,61,19,6,90,0,0,1,0,20,56,True,2025-10-04T14:00:00Z,2,0,False,0,0,0,0,0,0,0,3.2,0.0,0.0,0.3,0,8,0,0,1,0.00,0.00,0.00,0.49,212315,3297838,287510,75195
1,Raya,ARS,GKP,1,8,8,74,10,6,90,0,0,1,0,21,57,False,2025-10-18T16:30:00Z,0,1,False,0,0,0,0,0,0,0,4.6,0.0,0.0,0.5,2,7,0,0,1,0.00,0.00,0.00,0.44,120482,3447590,208192,87710
1,Raya,ARS,GKP,1,9,9,81,8,6,90,0,0,1,0,25,57,True,2025-10-26T14:00:00Z,1,0,False,0,0,0,0,0,0,1,15.0,0.1,0.0,1.5,2,10,0,0,1,0.00,0.00,0.00,0.47,81905,3546345,131150,49245
1,Raya,ARS,GKP,1,10,10,92,3,6,90,0,0,1,0,20,58,False,2025-11-01T15:00:00Z,0,2,False,0,0,0,0,0,0,0,2.8,0.1,0.0,0.3,1,7,0,0,1,0.00,0.00,0.00,0.42,227648,3816996,267422,39774
1,Raya,ARS,GKP,1,11,11,108,17,1,90,0,0,0,0,-2,59,False,2025-11-08T17:30:00Z,2,2,False,2,0,0,0,0,0,0,1.6,0.0,0.0,0.2,0,2,0,0,1,0.00,0.00,0.00,0.44,180430,4024229,210442,30012
1,Raya,ARS,GKP,1,12,12,111,18,2,90,0,0,0,0,6,59,True,2025-11-23T16:30:00Z,4,1,False,1,0,0,0,0,0,1,6.6,0.0,0.0,0.7,0,5,0,0,1,0.00,0.00,0.00,0.07,3055,4013556,81056,78001
1,Raya,ARS,GKP,1,13,13,123,7,3,90,0,0,0,0,12,59,False,2025-11-30T16:30:00Z,1,1,False,1,0,0,0,0,0,3,20.0,0.0,0.0,2.0,0,7,0,0,1,0.00,0.00,0.00,0.79,-37310,3844111,41034,78344
1,Raya,ARS,GKP,1,14,14,131,5,6,90,0,0,1,0,26,59,True,2025-12-03T19:30:00Z,2,0,False,0,0,0,0,0,0,1,15.0,0.0,0.0,1.5,2,12,0,0,1,0.00,0.00,0.00,0.35,76542,4109145,105123,28581
1,Raya,ARS,GKP,1,15,15,141,2,2,90,0,0,0,0,13,59,False,2025-12-06T12:30:00Z,2,1,False,2,0,0,0,0,0,4,35.2,0.0,0.0,3.5,0,7,0,0,1,0.00,0.00,0.00,2.16,124671,4221133,152709,28038
